['2016-05-28 22:05:00', 0, 'images/weathericons/icon27.png', u'Mostly Cloudy', '17', '75', u'ENE', '6']
['2016-05-28 21:05:00', 0, 'images/weathericons/icon26.png', u'Cloudy', '17', '70', u'ENE', '3']
['2016-05-28 20:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '18', '61', u'E', '8']
['2016-05-28 19:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '20', '55', u'E', '14']
['2016-05-28 18:05:00', 0, 'images/weathericons/icon26.png', u'Cloudy', '22', '50', u'ESE', '14']
['2016-05-28 17:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '22', '45', u'ESE', '8']
['2016-05-28 16:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '21', '48', u'ENE', '14']
['2016-05-28 15:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '22', '46', u'ENE', '18']
['2016-05-28 14:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '21', '49', u'ENE', '13']
['2016-05-28 13:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '20', '52', u'ENE', '8']
['2016-05-28 12:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '19', '51', u'ESE', '8']
['2016-05-28 11:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '19', '50', u'ESE', '11']
['2016-05-28 10:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '18', '54', u'ESE', '13']
['2016-05-28 09:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '17', '64', u'ESE', '10']
['2016-05-28 08:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '14', '77', u'ESE', '8']
['2016-05-28 07:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '13', '87', u'ESE', '6']
['2016-05-28 06:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '11', '92', u'ESE', '5']
['2016-05-28 05:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '10', '94', u'S', '0']
['2016-05-28 04:05:00', 0, 'images/weathericons/icon29.png', u'Partly Cloudy', '10', '95', u'SSE', '0']
['2016-05-28 03:05:00', 0, 'images/weathericons/icon33.png', u'Fair', '11', '92', u'WSW', '5']
['2016-05-28 02:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '11', '90', u'S', '3']
['2016-05-28 01:05:00', 0, 'images/weathericons/icon29.png', u'Partly Cloudy', '12', '86', u'NNW', '5']
['2016-05-28 00:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '13', '81', u'NNW', '8']
['2016-05-27 23:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '14', '75', u'N', '10']
['2016-05-27 22:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '14', '72', u'N', '11']
['2016-05-27 21:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '16', '65', u'N', '14']
['2016-05-27 20:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '16', '61', u'N', '11']
['2016-05-27 19:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '17', '56', u'N', '14']
['2016-05-27 18:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '18', '52', u'N', '18']
['2016-05-27 17:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '18', '51', u'N', '11']
['2016-05-27 16:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '19', '48', u'NNW', '13']
['2016-05-27 15:05:00', 0, 'images/weathericons/icon28.png', u'Mostly Cloudy', '18', '51', u'NNW', '13']
['2016-05-27 14:05:00', 0, 'images/weathericons/icon28.png', u'Mostly Cloudy', '18', '50', u'N', '10']
['2016-05-27 13:05:00', 0, 'images/weathericons/icon28.png', u'Mostly Cloudy', '19', '50', u'NNE', '10']
['2016-05-27 12:05:00', 0, 'images/weathericons/icon26.png', u'Cloudy', '19', '51', u'N', '8']
['2016-05-27 11:05:00', 0, 'images/weathericons/icon28.png', u'Mostly Cloudy', '19', '50', u'NE', '5']
['2016-05-27 10:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '18', '52', u'N', '2']
['2016-05-27 09:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '16', '67', u'NNW', '6']
['2016-05-27 08:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '12', '83', u'W', '5']
['2016-05-27 07:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '10', '84', u'SSW', '3']
['2016-05-27 06:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '8', '88', u'SSW', '3']
['2016-05-27 05:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '7', '91', u'SSW', '0']
['2016-05-27 04:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '7', '92', u'NNW', '2']
['2016-05-27 03:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '8', '93', u'W', '3']
['2016-05-27 02:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '8', '91', u'NNW', '5']
['2016-05-27 01:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '9', '87', u'NW', '3']
['2016-05-27 00:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '10', '84', u'N', '8']
['2016-05-26 23:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '11', '79', u'N', '6']
['2016-05-26 22:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '13', '72', u'N', '11']
['2016-05-26 21:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '14', '69', u'NNW', '6']
['2016-05-26 20:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '15', '66', u'NNW', '16']
['2016-05-26 19:25:02', 0, 'images/weathericons/icon34.png', u'Fair', '16', '63', u'NNW', '10']
['2016-05-26 18:05:00', 0, 'images/weathericons/icon26.png', u'Cloudy', '17', '61', u'NNW', '10']
['2016-05-26 17:05:00', 0, 'images/weathericons/icon11.png', u'Light Rain', '18', '56', u'N', '6']
['2016-05-26 16:05:00', 0, 'images/weathericons/icon11.png', u'Light Rain', '18', '55', u'N', '5']
['2016-05-26 15:05:00', 0, 'images/weathericons/icon28.png', u'Mostly Cloudy', '17', '60', u'NNW', '5']
['2016-05-26 14:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '16', '62', u'N', '3']
['2016-05-26 13:05:00', 0, 'images/weathericons/icon28.png', u'Mostly Cloudy', '15', '65', u'ENE', '5']
['2016-05-26 11:45:00', 0, 'images/weathericons/icon26.png', u'Cloudy', '14', '70', u'SE', '5']
['2016-05-26 11:05:00', 0, 'images/weathericons/icon28.png', u'Mostly Cloudy', '14', '72', u'ESE', '6']
['2016-05-26 10:05:00', 0, 'images/weathericons/icon11.png', u'Light Rain', '13', '77', u'SE', '2']
['2016-05-26 09:05:00', 0, 'images/weathericons/icon11.png', u'Light Rain', '12', '84', u'ESE', '6']
['2016-05-26 08:05:00', 0, 'images/weathericons/icon11.png', u'Light Rain', '12', '89', u'E', '13']
['2016-05-26 07:05:00', 0, 'images/weathericons/icon26.png', u'Cloudy', '12', '87', u'E', '10']
['2016-05-26 06:05:00', 0, 'images/weathericons/icon28.png', u'Mostly Cloudy', '13', '81', u'E', '16']
['2016-05-26 05:05:00', 0, 'images/weathericons/icon28.png', u'Mostly Cloudy', '13', '80', u'ESE', '10']
